cd,cs,freq_val
0.0,0.0,0.0016772895001677288
0.0,0.1004,0.0035879410177500986
0.0,0.2008,0.0029170252176830068
0.0,0.3012,0.001268905969692108
0.0,0.4016,0.00048130916091769613
0.0,0.502,0.00011668100870732027
0.0,0.6024,2.9170252176830067e-05
0.0,0.7028,0.0
0.0,0.8032,0.0
0.0,0.9036000000000001,0.0
10.0,0.0,0.002479471435030556
10.0,0.1004,0.005002698248326357
10.0,0.2008,0.003923398917783644
10.0,0.3012,0.0015460233653719936
10.0,0.4016,0.0004958942870061111
10.0,0.502,0.0002625322695914706
10.0,0.6024,4.3755378265245106e-05
10.0,0.7028,2.9170252176830067e-05
10.0,0.8032,0.0
10.0,0.9036000000000001,0.0
20.0,0.0,0.002581567317649461
20.0,0.1004,0.005367326400536733
20.0,0.2008,0.0036608666481921736
20.0,0.3012,0.001283491095780523
20.0,0.4016,0.00040838353047562096
20.0,0.502,0.00016043638697256537
20.0,0.6024,0.0
20.0,0.7028,2.9170252176830067e-05
20.0,0.8032,0.0
20.0,0.9036000000000001,0.0
30.0,0.0,0.002566982191561046
30.0,0.1004,0.004871432113530622
30.0,0.2008,0.00414217580910987
30.0,0.3012,0.001750215130609804
30.0,0.4016,0.0005688199174481864
30.0,0.502,8.751075653049021e-05
30.0,0.6024,5.8340504353660134e-05
30.0,0.7028,0.0
30.0,0.8032,0.0
30.0,0.9036000000000001,0.0
40.0,0.0,0.0026107375698262913
40.0,0.1004,0.005250645391829413
40.0,0.2008,0.00425885681781719
40.0,0.3012,0.002158598661085425
40.0,0.4016,0.0007000860522439217
40.0,0.502,0.00014585126088415034
40.0,0.6024,4.3755378265245106e-05
40.0,0.7028,0.0
40.0,0.8032,0.0
40.0,0.9036000000000001,0.0
50.0,0.0,0.002581567317649461
50.0,0.1004,0.005177719761387338
50.0,0.2008,0.005031868500503187
50.0,0.3012,0.0025961524437378763
50.0,0.4016,0.0011230547088079577
50.0,0.502,0.00023336201741464054
50.0,0.6024,2.9170252176830067e-05
50.0,0.7028,4.3755378265245106e-05
50.0,0.8032,1.4585126088415034e-05
50.0,0.9036000000000001,0.0
60.0,0.0,0.0026690780741799513
60.0,0.1004,0.004579729591762321
60.0,0.2008,0.00420051631346353
60.0,0.3012,0.0029024400915945918
60.0,0.4016,0.0011959803392500327
60.0,0.502,0.0005688199174481864
60.0,0.6024,0.0001312661347957353
60.0,0.7028,8.751075653049021e-05
60.0,0.8032,8.751075653049021e-05
60.0,0.9036000000000001,1.4585126088415034e-05
70.0,0.0,0.0027128334524451963
70.0,0.1004,0.0060674124527806544
70.0,0.2008,0.004521389087408661
70.0,0.3012,0.003748377404722664
70.0,0.4016,0.0014876828610183336
70.0,0.502,0.0009188629435701471
70.0,0.6024,0.0002771173956798857
70.0,0.7028,0.00014585126088415034
70.0,0.8032,4.3755378265245106e-05
